timestamp,open,high,low,close,volume,bid_volume,ask_volume,delta
1764315000000,91439.7,91439.7,91351.4,91355.0,137.818,"[19.307, 10.188000000000011, 22.105000000000008, 11.372999999999996, 9.383000000000001]","[31.128999999999976, 4.092999999999998, 19.462000000000007, 0.8350000000000002, 9.943]",-6.894000000000034
1764315180000,91354.8,91354.8,91191.6,91191.7,298.878,"[54.26300000000016, 59.97900000000018, 20.815000000000005, 28.987999999999975, 31.20399999999999]","[56.23600000000003, 28.223999999999997, 6.301999999999998, 3.798999999999999, 8.984]",-91.70400000000026
1764315360000,91191.7,91191.7,91084.5,91108.8,335.436,"[43.76100000000003, 48.83900000000013, 21.885999999999985, 71.5420000000001, 21.535999999999984]","[12.306000000000013, 35.345999999999975, 3.423999999999997, 64.64300000000009, 12.1]",-79.74500000000015
1764315540000,91108.8,91140.1,91052.6,91082.1,361.604,"[52.57100000000003, 57.523000000000074, 30.647999999999964, 28.038999999999998, 9.046000000000001]","[33.183999999999976, 41.06800000000005, 20.366000000000025, 46.539000000000094, 36.47200000000001]",-0.19799999999989382
1764315720000,91082.0,91126.7,91012.7,91023.6,368.743,"[24.266999999999992, 74.7070000000001, 44.109000000000066, 31.623000000000005, 29.07899999999996]","[12.227000000000006, 33.546999999999976, 59.2670000000001, 30.004999999999992, 29.912]",-38.827
1764315900000,91023.6,91049.5,90970.0,90970.0,286.811,"[20.11900000000001, 51.35300000000008, 30.31499999999998, 48.37500000000003, 16.260000000000005]","[8.389000000000001, 23.222, 44.857000000000056, 35.37000000000002, 8.299999999999997]",-46.284000000000006
1764316080000,90970.0,90998.7,90873.0,90879.9,478.674,"[74.32600000000008, 91.08700000000013, 31.25199999999997, 61.11800000000018, 36.09300000000001]","[35.33299999999998, 37.39000000000001, 15.57100000000001, 70.31400000000002, 26.096]",-109.17200000000037
1764316260000,90879.9,90967.4,90862.0,90871.1,421.478,"[28.94299999999999, 50.04300000000013, 60.84000000000021, 21.32199999999999, 14.451000000000006]","[30.444999999999983, 61.13900000000005, 94.26900000000003, 24.39299999999999, 35.466000000000015]",70.11299999999977
1764316440000,90871.1,90899.7,90838.0,90840.5,286.911,"[45.245000000000026, 17.90200000000001, 28.76, 25.986000000000015, 10.162000000000008]","[60.03800000000005, 7.147999999999998, 40.47900000000004, 46.25300000000004, 4.937999999999999]",30.801000000000045
1764316620000,90840.4,90936.0,90824.1,90870.2,521.754,"[90.13400000000017, 25.301000000000005, 31.93899999999996, 19.147000000000006, 26.239000000000004]","[124.99800000000003, 68.83499999999997, 54.634000000000015, 47.487000000000045, 32.79800000000001]",135.99199999999993
1764316800000,90870.2,90965.7,90863.6,90958.5,423.722,"[14.007, 22.53600000000001, 57.68900000000011, 22.380000000000003, 44.77300000000003]","[22.609999999999985, 45.663000000000046, 55.128000000000156, 37.02000000000003, 101.9160000000001]",100.9520000000002
1764316980000,90958.5,90997.3,90943.2,90953.7,288.35,"[23.710999999999995, 45.386000000000074, 11.899000000000024, 32.14700000000003, 30.625999999999994]","[6.102999999999999, 22.444000000000017, 23.45899999999998, 48.12400000000006, 43.88399999999998]",0.24499999999991928
1764317160000,90953.8,91036.8,90913.2,90979.0,296.346,"[31.485999999999986, 25.582, 11.965, 35.432000000000045, 68.86199999999995]","[13.437000000000005, 4.932999999999995, 16.41600000000001, 33.413999999999994, 52.95800000000016]",-52.16899999999981
1764317340000,90979.0,91156.1,90922.5,91152.0,295.795,"[37.478000000000016, 17.59400000000001, 6.449999999999994, 1.7239999999999998, 20.63400000000003]","[13.11100000000003, 62.378000000000135, 27.227999999999984, 46.014000000000166, 63.10600000000019]",127.95700000000045
1764317520000,91152.1,91200.7,91064.5,91080.5,255.483,"[27.96499999999998, 8.594, 38.56800000000003, 47.48600000000009, 17.654000000000025]","[30.636999999999983, 6.812999999999993, 11.529, 21.433000000000032, 34.83699999999999]",-35.018000000000114
1764317700000,91080.5,91191.6,91057.9,91111.6,168.828,"[21.036000000000005, 10.286000000000005, 14.259000000000043, 21.816999999999968, 8.747000000000005]","[14.076000000000032, 20.66800000000002, 29.402999999999984, 24.184999999999974, 4.337999999999998]",16.52499999999999
1764317880000,91111.6,91186.2,91066.7,91161.7,144.698,"[44.21499999999999, 18.064000000000025, 5.3589999999999955, 3.5100000000000002, 8.907000000000004]","[25.262000000000015, 17.10500000000003, 7.201999999999991, 7.442999999999994, 7.630999999999998]",-15.411999999999978
1764318060000,91161.8,91198.6,91086.7,91089.0,214.623,"[49.781000000000105, 18.80400000000001, 11.689000000000007, 25.64999999999998, 26.053999999999995]","[14.024000000000006, 1.0390000000000001, 18.769, 19.146000000000022, 29.666999999999998]",-49.33300000000007
1764318240000,91089.0,91151.5,91089.0,91115.8,110.683,"[0.648, 1.36, 12.931999999999995, 20.71699999999997, 11.613000000000012]","[2.1669999999999963, 4.7219999999999995, 6.527999999999994, 39.24000000000001, 10.755999999999993]",16.143000000000008
1764318420000,91115.7,91119.9,91102.3,91105.7,72.563,"[3.9959999999999987, 11.649999999999997, 3.466999999999999, 16.866000000000003, 8.621999999999996]","[4.9239999999999995, 4.947000000000001, 1.4629999999999996, 12.965999999999998, 3.661999999999998]",-16.639000000000003
1764318600000,91105.7,91111.2,91006.3,91011.7,182.299,"[12.978000000000018, 31.111999999999952, 23.75500000000002, 19.564000000000004, 35.16800000000004]","[15.612000000000004, 14.64500000000002, 8.470999999999997, 11.538000000000004, 9.276]",-63.035
1764318780000,91011.8,91139.9,90967.2,91139.2,181.182,"[28.590000000000014, 45.52300000000003, 5.087999999999999, 5.728999999999997, 0.9570000000000001]","[20.525000000000006, 43.69000000000003, 8.255999999999998, 11.721000000000007, 11.10300000000002]",9.40800000000003
1764318960000,91139.2,91242.2,91139.2,91164.8,214.504,"[0.082, 20.223999999999982, 30.53999999999999, 7.879999999999985, 29.291]","[5.937999999999993, 18.798, 38.04400000000001, 27.58099999999996, 36.125999999999976]",38.469999999999985
1764319140000,91164.8,91171.2,91099.9,91100.0,99.178,"[3.6749999999999994, 10.058000000000007, 9.250000000000005, 5.235999999999996, 26.384999999999977]","[1.128, 5.567999999999999, 11.777000000000001, 5.569999999999997, 20.524999999999995]",-10.035999999999994
1764319320000,91100.0,91100.0,91073.5,91086.4,95.791,"[3.563999999999998, 7.811999999999997, 8.147, 8.497999999999998, 6.987999999999999]","[10.578, 13.248000000000006, 20.472999999999995, 14.769000000000013, 1.7139999999999995]",25.773000000000025
1764319500000,91086.3,91155.8,91053.6,91135.1,88.531,"[4.560999999999998, 2.307999999999997, 7.506999999999994, 7.142999999999996, 4.445999999999992]","[2.0409999999999964, 2.7919999999999976, 18.293999999999993, 21.246000000000016, 18.193000000000023]",36.601000000000056
1764319680000,91135.1,91350.4,91135.0,91341.1,366.312,"[17.220000000000006, 22.27099999999999, 20.452999999999996, 37.148000000000046, 0.937]","[63.89300000000008, 26.417999999999992, 57.76000000000004, 89.40299999999984, 29.895999999999994]",169.3409999999999
1764319860000,91341.1,91680.0,91341.1,91435.0,1821.798,"[58.60600000000018, 130.37599999999972, 168.85899999999702, 330.7369999999943, 63.78600000000033]","[175.35099999999912, 159.09199999999862, 262.77799999999627, 297.28199999999396, 138.48999999999964]",280.6289999999959
1764320040000,91435.0,91520.8,91340.3,91400.0,496.179,"[34.02799999999999, 64.50100000000025, 61.192000000000355, 63.254000000000346, 37.36899999999997]","[21.588000000000005, 71.0820000000001, 43.953000000000046, 63.21900000000037, 35.43199999999998]",-25.07000000000039
1764320220000,91400.1,91650.0,91378.7,91649.9,579.466,"[24.821999999999978, 15.467, 80.81499999999998, 107.79699999999968, 24.922999999999988]","[36.41500000000003, 34.72599999999996, 84.66399999999996, 126.10699999999943, 37.33400000000004]",65.4219999999998
1764320400000,91649.9,91742.9,91503.5,91516.3,819.975,"[132.55699999999956, 101.01599999999986, 48.54400000000023, 55.16000000000022, 40.62500000000006]","[113.73099999999981, 61.87300000000006, 23.432, 117.06799999999969, 117.2370000000002]",55.43899999999985
1764320580000,91516.3,91563.1,91475.9,91556.9,284.215,"[15.529000000000027, 47.02800000000013, 26.452000000000016, 7.407999999999997, 5.443999999999998]","[25.916999999999977, 65.35600000000008, 67.35099999999997, 6.008999999999999, 16.688000000000017]",79.45999999999985
1764320760000,91556.9,91557.0,91480.0,91503.2,140.216,"[19.985000000000028, 24.277000000000015, 17.35900000000001, 12.20700000000002, 7.328999999999996]","[19.208999999999993, 9.55900000000001, 7.630999999999992, 22.408000000000005, 0.166]",-22.18400000000007
1764320940000,91503.3,91855.0,91503.3,91603.2,1033.792,"[0.40199999999999997, 157.18099999999956, 74.71899999999977, 109.58299999999973, 49.251000000000126]","[20.542000000000026, 121.4019999999994, 80.15299999999999, 177.06299999999806, 220.78899999999908]",228.81299999999737
1764321120000,91603.2,91632.1,91579.9,91626.8,169.143,"[2.931999999999999, 27.897000000000006, 26.731999999999985, 15.076000000000011, 17.15500000000001]","[2.3579999999999997, 19.225999999999992, 19.233000000000004, 23.361000000000008, 15.173000000000018]",-10.440999999999988
1764321300000,91626.8,91631.7,91524.9,91542.2,171.911,"[34.128999999999984, 46.01000000000015, 12.511000000000008, 8.924000000000007, 13.709]","[15.792000000000055, 21.159999999999993, 6.615999999999997, 7.8109999999999875, 5.176999999999991]",-58.72700000000012
1764321480000,91542.2,91562.0,91466.0,91519.8,279.693,"[39.77700000000003, 20.138999999999996, 35.04800000000001, 46.52000000000014, 25.438000000000017]","[8.268000000000002, 11.139000000000008, 18.453000000000024, 49.21100000000015, 25.228000000000034]",-54.62299999999995
1764321660000,91519.9,91656.1,91519.8,91656.0,198.776,"[2.3859999999999992, 6.608999999999988, 29.437999999999978, 0.44600000000000006, 23.741000000000003]","[10.162000000000011, 43.238000000000014, 45.742000000000075, 6.558999999999996, 28.12700000000001]",71.20800000000015
1764321840000,91656.0,91656.0,91555.0,91564.0,191.365,"[33.73700000000003, 15.028000000000047, 39.59, 10.831000000000007, 16.497000000000014]","[38.309000000000104, 12.070000000000029, 20.713000000000008, 2.9679999999999955, 1.603]",-40.01999999999997
1764322020000,91564.0,91588.0,91534.3,91587.9,87.244,"[2.4359999999999995, 28.425, 19.199999999999996, 3.9539999999999975, 1.7879999999999998]","[2.990999999999999, 14.618000000000029, 4.703999999999994, 3.3569999999999967, 5.771]",-24.361999999999973
1764322200000,91588.0,91606.2,91490.8,91541.8,211.124,"[61.82600000000022, 48.549000000000085, 12.680000000000003, 12.440000000000024, 8.87]","[31.52799999999997, 22.58700000000001, 4.4719999999999915, 4.717999999999999, 3.3999999999999995]",-77.66000000000038
1764322380000,91541.9,91557.3,91480.0,91556.9,121.847,"[10.341999999999999, 21.638000000000005, 33.51399999999999, 3.846999999999997, 6.092999999999993]","[6.124999999999992, 17.273, 13.51000000000002, 0.6890000000000003, 8.807999999999995]",-29.028999999999975
1764322560000,91557.0,91582.1,91473.2,91479.9,102.817,"[30.727999999999973, 12.919000000000013, 8.494999999999997, 10.754000000000007, 9.616999999999999]","[15.730000000000016, 0.9320000000000004, 1.9649999999999992, 1.8999999999999992, 9.776999999999992]",-42.20899999999998
1764322740000,91479.9,91480.0,91400.0,91461.5,189.678,"[22.088, 12.279000000000002, 27.935999999999982, 18.41500000000003, 33.053999999999974]","[17.379000000000005, 9.277999999999995, 15.839000000000011, 15.117000000000022, 18.112000000000013]",-38.046999999999954
1764322920000,91461.5,91486.7,91369.6,91441.1,314.98,"[35.147, 68.56100000000004, 58.70100000000007, 48.29400000000004, 15.180999999999994]","[0, 26.30899999999999, 32.410000000000004, 8.139, 19.64300000000002]",-139.38300000000012
1764323100000,91441.2,91550.0,91441.1,91509.9,147.257,"[1.094, 3.886999999999998, 5.727999999999997, 23.239000000000033, 6.805999999999992]","[6.004999999999995, 48.80800000000005, 15.121000000000004, 26.94999999999998, 9.619]",65.74900000000002
1764323280000,91509.9,91544.1,91500.3,91513.4,71.488,"[8.186999999999996, 9.604000000000003, 4.980999999999993, 2.3279999999999976, 3.6849999999999983]","[5.327999999999997, 15.044999999999998, 9.256000000000006, 12.590000000000007, 0.4680000000000001]",13.902000000000026
1764323460000,91513.4,91548.0,91504.2,91547.9,68.319,"[3.984999999999997, 4.917999999999995, 2.550999999999998, 7.451999999999994, 10.629999999999999]","[1.6189999999999978, 20.642000000000007, 1.821999999999997, 8.210999999999995, 6.456999999999995]",9.215000000000007
1764323640000,91547.9,91558.5,91504.3,91509.9,88.455,"[9.710999999999997, 4.523999999999998, 2.0749999999999984, 14.414000000000012, 8.33899999999999]","[8.553999999999998, 0.004, 0, 13.75300000000002, 27.08099999999997]",10.328999999999994
1764323820000,91510.0,91560.9,91498.8,91560.8,77.206,"[21.509999999999994, 1.7709999999999997, 9.609000000000002, 0.13599999999999998, 2.082]","[14.642000000000007, 3.3759999999999972, 3.2899999999999987, 5.556999999999995, 15.233000000000002]",6.989999999999995
1764324000000,91560.9,91567.5,91491.2,91491.2,81.724,"[5.636999999999994, 7.489999999999999, 6.329999999999997, 15.564000000000028, 11.982000000000015]","[3.892999999999999, 0.37900000000000006, 6.732999999999994, 8.717, 14.999000000000011]",-12.282000000000025
1764324180000,91491.2,91499.9,91443.7,91456.9,96.274,"[17.142999999999994, 5.420999999999997, 4.615999999999999, 36.173000000000066, 6.736999999999995]","[8.722, 0.8180000000000002, 0.9850000000000003, 12.685000000000027, 2.947999999999996]",-43.93200000000002
1764324360000,91456.9,91485.0,91437.8,91468.2,74.585,"[15.017000000000015, 4.811999999999994, 11.625000000000004, 4.563999999999996, 4.072999999999997]","[14.060000000000008, 7.239999999999997, 4.216999999999998, 6.799999999999996, 2.155999999999999]",-5.618000000000009
1764324540000,91468.1,91494.2,91434.1,91459.3,73.11,"[7.985999999999994, 10.078000000000007, 9.520000000000017, 4.971999999999997, 2.449999999999999]","[12.433000000000005, 12.907000000000004, 2.2019999999999977, 2.7389999999999985, 7.691999999999998]",2.9669999999999987
1764324720000,91459.4,91507.8,91459.4,91482.4,70.121,"[4.527999999999991, 5.906999999999996, 2.469999999999996, 8.466999999999997, 4.287999999999996]","[7.637999999999997, 8.959000000000001, 3.4809999999999977, 5.454999999999993, 18.927999999999983]",18.800999999999995
1764324900000,91482.5,91497.5,91441.3,91446.8,101.312,"[16.162, 7.251999999999996, 5.303999999999998, 5.099999999999995, 2.753999999999998]","[14.890000000000011, 5.278999999999996, 4.6839999999999975, 10.361999999999995, 8.681999999999999]",7.325000000000017
1764325080000,91446.7,91596.6,91446.7,91565.5,122.01,"[0.8930000000000001, 8.358000000000006, 2.0799999999999996, 15.748000000000006, 16.06600000000002]","[7.775999999999994, 13.249000000000013, 9.672000000000002, 30.38999999999998, 17.778000000000013]",35.71999999999997
1764325260000,91565.6,91566.6,91474.6,91552.5,99.802,"[19.720999999999993, 2.8809999999999967, 1.8349999999999986, 9.771000000000004, 28.20799999999999]","[14.987000000000013, 2.0879999999999974, 3.685999999999996, 8.863999999999994, 6.748999999999995]",-26.041999999999987
